주문번호,사용자ID,주문일자,카테고리,상품명,단가,수량,총주문금액,주문상태,결제수단
ORD-20260519-0017,user_1059,2026-05-04 15:46:00,의류,스트레이트 데님 팬츠,49000,2,98000,배송완료,무통장입금
ORD-20260519-0018,user_1215,2026-05-01 22:18:00,의류,오버핏 맨투맨 티셔츠,39000,5,195000,배송완료,토스페이
ORD-20260519-0019,user_1407,2026-05-01 19:21:00,전기/전자,고속 충전 보조배터리,35000,1,35000,배송중,신용카드
ORD-20260519-0020,user_1511,2026-05-18 03:45:00,뷰티,비타민C 세럼,32000,3,96000,배송완료,간편결제
ORD-20260519-0021,user_1788,2026-05-13 20:14:00,전기/전자,기계식 게이밍 키보드,129000,2,258000,배송완료,토스페이
ORD-20260519-0022,user_1841,2026-05-16 06:13:00,식품,유기농 더치커피 원액,18000,1,18000,배송완료,무통장입금
ORD-20260519-0023,user_1110,2026-05-11 12:32:00,뷰티,비타민C 세럼,32000,4,128000,배송완료,간편결제
ORD-20260519-0024,user_1744,2026-05-18 01:06:00,뷰티,올인원 자외선차단제,24000,5,120000,배송완료,토스페이
ORD-20260519-0025,user_1520,2026-05-04 04:08:00,뷰티,보습 수분크림 50ml,28000,1,28000,배송완료,신용카드
ORD-20260519-0026,user_1206,2026-05-09 02:19:00,의류,오버핏 맨투맨 티셔츠,39000,3,117000,배송완료,토스페이
ORD-20260519-0027,user_1583,2026-05-15 17:01:00,식품,닭가슴살 팩 20입,35000,1,35000,배송완료,간편결제
ORD-20260519-0028,user_1748,2026-05-07 09:29:00,식품,유기농 더치커피 원액,18000,2,36000,배송중,간편결제
ORD-20260519-0029,user_1547,2026-05-12 06:18:00,식품,단백질 보충 쉐이크,42000,1,42000,배송완료,토스페이
ORD-20260519-0030,user_1352,2026-05-09 01:51:00,식품,닭가슴살 팩 20입,35000,1,35000,배송완료,신용카드
ORD-20260519-0031,user_1842,2026-05-17 16:05:00,전기/전자,무선 노이즈캔슬링 헤드폰,199000,1,199000,배송완료,간편결제
ORD-20260519-0032,user_1061,2026-05-11 07:14:00,식품,유기농 더치커피 원액,18000,1,18000,배송완료,토스페이
ORD-20260519-0033,user_1975,2026-05-12 08:51:00,의류,오버핏 맨투맨 티셔츠,39000,2,78000,배송완료,간편결제
ORD-20260519-0034,user_1529,2026-05-14 15:28:00,식품,단백질 보충 쉐이크,42000,1,42000,결제완료,무통장입금
ORD-20260519-0035,user_1202,2026-05-09 11:33:00,뷰티,보습 수분크림 50ml,28000,1,28000,배송완료,신용카드
ORD-20260519-0036,user_1317,2026-05-06 21:16:00,의류,린넨 셔츠,45000,1,45000,배송완료,무통장입금
ORD-20260519-0037,user_1868,2026-05-01 15:52:00,식품,닭가슴살 팩 20입,35000,1,35000,결제완료,간편결제
ORD-20260519-0038,user_1421,2026-05-05 22:31:00,뷰티,비타민C 세럼,32000,1,32000,배송완료,간편결제
ORD-20260519-0039,user_1484,2026-05-01 07:26:00,의류,윈드브레이커 재킷,89000,1,89000,배송완료,신용카드
ORD-20260519-0040,user_1308,2026-05-11 13:22:00,전기/전자,고속 충전 보조배터리,35000,2,70000,배송완료,신용카드
ORD-20260519-0041,user_1548,2026-05-03 15:17:00,뷰티,올인원 자외선차단제,24000,4,96000,배송완료,신용카드
ORD-20260519-0042,user_1161,2026-05-17 05:44:00,식품,단백질 보충 쉐이크,42000,1,42000,배송완료,토스페이
ORD-20260519-0043,user_1321,2026-05-16 11:46:00,전기/전자,기계식 게이밍 키보드,129000,1,129000,배송완료,무통장입금
ORD-20260519-0044,user_1164,2026-05-08 09:35:00,의류,윈드브레이커 재킷,89000,1,89000,배송완료,간편결제
ORD-20260519-0045,user_1293,2026-05-04 07:05:00,뷰티,비타민C 세럼,32000,1,32000,배송완료,토스페이
ORD-20260519-0046,user_1045,2026-05-03 23:19:00,뷰티,비타민C 세럼,32000,1,32000,배송완료,토스페이
ORD-20260519-0047,user_1923,2026-05-18 12:16:00,의류,윈드브레이커 재킷,89000,4,356000,배송완료,신용카드
ORD-20260519-0048,user_1424,2026-05-13 20:54:00,전기/전자,버티컬 무선 마우스,79000,1,79000,주문취소,간편결제
ORD-20260519-0049,user_1071,2026-05-17 06:55:00,식품,유기농 더치커피 원액,18000,1,18000,배송완료,간편결제
ORD-20260519-0050,user_1333,2026-05-13 00:15:00,의류,오버핏 맨투맨 티셔츠,39000,1,39000,배송중,무통장입금
